Measure,Condition,Frequency,Modality,t,p
BPM,1,10,sound,0.24172935651215238,0.8117223400037153
BPM,2,10,vibration,-1.1515306048314686,0.26458055954240234
BPM,3,10,light,-0.5367780275275555,0.5979937946517554
BPM,4,40,vibration,-1.500781598969546,0.15074967820734964
BPM,5,10,sound+light,-0.8896132015199179,0.38540916666377845
BPM,7,40,sound+light,1.746905636630047,0.09769428262496657
BPM,8,40,light,-0.5034822108853251,0.6207310631014864
BPM,9,40,sound,-0.8663490033785153,0.39770022289220236
RMSSD,1,10,sound,0.06371246637808704,0.9499013909304774
RMSSD,2,10,vibration,0.15533960701837046,0.8782823097701499
RMSSD,3,10,light,0.24443607473812892,0.8096577563250978
RMSSD,4,40,vibration,1.1924167661163445,0.24858095162904273
RMSSD,5,10,sound+light,0.7581494879885071,0.4587436114870492
RMSSD,7,40,sound+light,-1.490266536110411,0.15346930505899242
RMSSD,8,40,light,-0.5777971931316345,0.5705591730087287
RMSSD,9,40,sound,1.3246433962712671,0.20186220128389348
SDNN,1,10,sound,1.7951341892766584,0.08944211737643336
SDNN,2,10,vibration,1.1457283225079797,0.26691224748322717
SDNN,3,10,light,0.8484234107757922,0.4073437959270231
SDNN,4,40,vibration,1.2122260989500853,0.24109794833379167
SDNN,5,10,sound+light,0.26838136519846667,0.791457429109736
SDNN,7,40,sound+light,-0.8902249262886242,0.3850894080255108
SDNN,8,40,light,1.774196964337154,0.09294687524715041
SDNN,9,40,sound,0.7691526613378976,0.4517780839577966
TH,1,10,sound,-1.8774492774088984,0.07675950240586268
TH,2,10,vibration,-1.7088641472108224,0.10466141751301707
TH,3,10,light,-1.3051256190563123,0.20828840207678403
TH,4,40,vibration,-0.842654173417873,0.410479456991037
TH,5,10,sound+light,-1.9106176750361084,0.07211571760387515
TH,7,40,sound+light,-0.666197294712542,0.5137334770063183
TH,8,40,light,-0.6115520262424962,0.5484810153493498
TH,9,40,sound,-2.3836914058731518,0.028359438407378503
SF,1,10,sound,1.9314547668455562,0.06932756308039538
SF,2,10,vibration,3.2233722524464086,0.004713834588022028
SF,3,10,light,2.125017704418316,0.0476894148703443
SF,4,40,vibration,0.5004004171517351,0.6228561004491515
SF,5,10,sound+light,0.6932236387792882,0.49701751306360664
SF,7,40,sound+light,-0.9244822278562833,0.36746381214744167
SF,8,40,light,1.3863149138126611,0.18258439003916063
SF,9,40,sound,1.897569391097274,0.07391197280104601
SCR_Amplitude,1,10,sound,-0.5799761953990517,0.5691201613368311
SCR_Amplitude,2,10,vibration,0.007898777835103902,0.9937846381597261
SCR_Amplitude,3,10,light,0.09775287395726588,0.923208819877316
SCR_Amplitude,4,40,vibration,-1.1843440422341576,0.25168051414232573
SCR_Amplitude,5,10,sound+light,0.3083550942345317,0.7613521905322778
SCR_Amplitude,7,40,sound+light,-1.3441410550302524,0.1956002020590734
SCR_Amplitude,8,40,light,-1.347126697576572,0.1946550898448904
SCR_Amplitude,9,40,sound,-0.8876027070973842,0.3864613249410041
